ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790054475.590506414,1.0,51,163,0.00,0.22,149,1,1,0,0,0
1790054476.669240216,1.9,52,163,0.00,0.43,149,1,1,0,0,0
1790054477.729732144,27.3,54,164,0.00,3.34,149,1,1,0,0,0
1790054478.796551282,75.9,50,164,0.00,4.28,149,1,1,0,0,0
1790054479.860154653,105.3,57,164,0.00,4.23,149,1,1,0,0,0
1790054480.931468269,32.7,49,165,0.00,4.42,149,1,1,0,0,0
1790054481.997468170,131.3,65,166,0.00,5.33,149,1,1,0,0,0
1790054483.070622011,41.0,48,166,0.00,4.28,149,1,1,0,0,0
1790054484.138565752,140.5,66,166,0.00,4.46,149,2,1,0,0,0
1790054485.203102855,42.3,52,166,0.00,4.39,149,2,1,0,0,0
1790054486.277906481,138.6,71,166,0.00,4.13,149,2,1,0,0,0
1790054487.354888945,46.4,56,166,0.00,4.88,149,2,1,0,0,0
1790054488.429926827,133.0,72,166,0.00,4.67,149,2,1,0,0,0
1790054489.505313975,50.2,60,166,0.00,5.44,149,2,1,0,0,0
1790054490.568068842,128.9,72,166,0.00,3.72,149,2,1,0,0,0
1790054491.638111282,48.6,60,166,0.00,5.02,149,3,1,0,0,0
1790054492.702047620,126.9,73,166,0.00,4.35,149,3,1,0,0,0
1790054493.768729988,49.7,62,166,0.00,5.33,149,3,1,0,0,0
1790054494.828545724,128.3,71,166,0.00,3.79,149,3,1,0,0,0
1790054495.895142893,45.9,61,166,0.00,4.84,149,3,1,0,0,0
1790054496.957945150,128.0,74,166,0.00,5.42,149,3,1,0,0,0
1790054498.029363773,56.9,64,166,0.00,5.64,149,4,1,0,0,0
1790054499.094731814,157.7,79,166,0.00,4.24,149,4,1,0,0,0
1790054500.162652736,122.7,85,166,0.00,7.67,149,4,1,0,0,0
1790054501.227981833,182.1,88,166,0.00,4.09,149,4,1,0,0,0
1790054502.297592630,119.7,95,166,0.00,8.58,149,5,1,0,0,0
1790054503.364538698,185.6,97,166,0.00,4.25,149,5,1,0,0,0
1790054504.428300346,119.4,106,166,0.00,7.66,149,5,1,0,0,0
1790054505.502284157,176.0,109,166,0.00,5.07,149,6,1,0,0,0
1790054506.570749411,131.0,113,166,0.00,6.70,149,6,1,0,0,0
1790054507.639502071,164.7,116,166,0.00,5.82,149,6,1,0,0,0
1790054508.701114653,143.2,117,166,0.00,6.00,149,7,1,0,0,0
1790054509.766961933,148.2,119,166,0.00,6.30,149,7,1,0,0,0
1790054510.826986855,151.9,123,166,0.00,5.48,149,7,1,0,0,0
1790054511.893375042,139.7,125,166,0.00,7.03,149,7,1,0,0,0
1790054512.957656837,159.7,125,166,0.00,5.47,149,8,1,0,0,0
1790054514.024309992,132.2,126,166,0.00,7.40,149,8,1,0,0,0
1790054515.086719250,177.0,128,166,0.00,4.35,149,8,1,0,0,0
1790054516.149143541,119.5,134,166,0.00,7.66,149,9,1,0,0,0
1790054517.221095324,179.1,134,166,0.00,4.19,149,9,1,0,0,0
1790054518.294140407,128.6,137,166,0.00,7.88,149,9,1,0,0,0
1790054519.354995278,178.2,139,166,0.00,5.05,149,10,1,0,0,0
1790054520.418091769,127.9,142,166,0.00,7.82,149,10,1,0,0,0
1790054521.480469960,180.7,144,166,0.00,4.19,149,11,1,0,0,0
1790054522.548172200,127.4,151,166,0.00,7.70,149,11,1,0,0,0
1790054523.611278010,183.4,152,166,0.00,4.37,149,12,1,0,0,0
1790054524.679737521,126.4,152,166,0.00,7.98,149,12,1,0,0,0
1790054525.748304334,187.2,152,166,0.00,5.09,149,13,1,0,0,0
1790054526.801350626,120.6,153,166,0.00,7.93,149,13,1,0,0,0
1790054529.676895295,150.9,163,166,0.00,3.13,149,13,1,0,0,0
1790054530.735397415,127.5,163,166,0.00,8.06,149,14,1,0,0,0
1790054531.802972318,186.4,164,166,0.00,4.95,149,14,1,0,0,0
1790054532.862616286,122.7,165,166,0.00,7.86,149,15,1,0,0,0
1790054533.921063292,187.1,166,166,0.00,4.33,149,15,1,0,0,0
1790054534.981417816,125.4,166,166,0.00,7.63,149,16,1,0,0,0
1790054536.043930134,190.1,167,166,0.00,4.27,149,16,1,0,0,0
1790054537.102921459,129.4,168,166,0.00,7.78,149,17,1,0,0,0
1790054538.161689020,198.3,169,166,0.00,4.32,149,17,1,0,0,0
1790054539.221780468,140.6,169,166,0.00,7.46,149,18,1,0,0,0
1790054540.282155788,174.5,170,166,0.00,5.83,149,18,1,0,0,0
1790054541.335889629,149.0,171,166,0.00,6.86,149,19,1,0,0,0
1790054542.393293235,172.1,172,166,0.05,6.41,149,19,1,0,0,0
1790054543.451565802,150.2,172,166,0.00,6.60,149,20,1,0,0,0
1790054544.526181255,162.8,174,166,0.00,6.30,149,21,1,0,0,0
1790054545.591241530,166.2,175,166,0.00,5.72,149,21,1,0,0,0
1790054546.658721846,148.9,176,166,0.00,6.85,149,22,1,0,0,0
1790054547.718913144,167.9,176,166,0.00,5.60,149,22,1,0,0,0
1790054548.776671442,152.2,179,166,0.00,8.13,149,23,1,0,0,0
1790054549.835798898,175.6,180,166,0.00,5.15,149,24,1,0,0,0
1790054550.901289662,138.0,182,166,0.00,7.51,149,24,1,0,0,0
1790054551.967107289,188.6,182,166,0.00,4.48,149,25,1,0,0,0
1790054553.029063085,129.0,183,166,0.00,8.23,149,25,1,0,0,0
1790054554.086479933,188.2,183,166,0.00,4.52,149,26,1,0,0,0
1790054555.148295416,126.2,186,166,0.00,8.23,149,26,1,0,0,0
1790054556.210652940,190.1,186,166,0.00,4.29,149,27,1,0,0,0
1790054557.271407881,139.5,187,166,0.00,8.34,149,28,1,0,0,0
1790054558.338021730,192.2,189,166,0.00,4.93,149,28,3,0,0,0
1790054559.392779012,127.0,199,166,0.00,13.06,149,29,6,0,0,0
1790054560.443530176,194.1,199,166,0.00,4.64,149,30,6,0,0,0
1790054561.510340640,139.7,206,166,0.00,8.65,149,31,6,0,0,0
1790054562.574402574,200.2,206,166,0.00,4.57,149,31,6,0,0,0
1790054563.634438034,128.3,207,166,0.00,8.39,149,32,6,0,0,0
1790054564.690788369,201.6,208,166,0.00,5.19,149,33,6,0,0,0
1790054565.758061815,144.3,208,166,0.00,7.07,149,34,6,0,0,0
1790054566.821715226,183.3,209,166,0.00,6.23,149,34,6,0,0,0
1790054567.882784375,151.7,209,166,0.00,6.72,149,35,6,0,0,0
1790054568.945862886,175.0,209,166,0.00,5.94,149,36,6,0,0,0
1790054570.005480031,156.7,209,166,0.00,6.80,149,37,6,0,0,0
1790054571.062163194,173.2,211,166,0.00,6.50,149,37,6,0,0,0
1790054572.133925316,166.1,213,166,0.00,6.09,149,38,6,0,0,0
1790054573.191684447,159.8,214,166,0.00,6.73,149,39,6,0,0,0
1790054574.259474834,155.5,215,166,0.00,6.69,149,40,6,0,0,0
1790054575.315478640,169.5,215,166,0.00,6.33,149,40,6,0,0,0
1790054576.375140355,166.1,216,166,0.00,6.06,149,41,6,0,0,0
1790054577.441685012,168.8,218,166,0.00,6.82,149,42,6,0,0,0
1790054578.516674399,167.4,218,166,0.00,6.26,149,43,6,0,0,0
1790054579.573022931,177.0,219,166,0.00,7.49,149,44,6,0,0,0
1790054580.628114596,164.9,220,166,0.00,6.49,149,44,6,0,0,0
1790054581.697418555,171.1,220,166,0.00,6.69,149,45,6,0,0,0
1790054582.754655191,169.3,221,166,0.00,6.09,149,46,6,0,0,0
1790054583.809022973,166.0,221,166,0.00,6.99,149,47,6,0,0,0
1790054584.867117402,171.1,222,166,0.00,6.03,149,48,6,0,0,0
1790054585.936079119,163.7,222,166,0.00,8.41,149,49,6,0,0,0
1790054586.997633770,172.4,223,166,0.00,4.61,149,50,6,0,0,0
1790054589.257519808,156.2,230,166,0.00,3.93,149,50,6,0,0,0
1790054590.318346957,139.5,230,166,0.00,8.63,149,51,6,0,0,0
1790054591.374807723,191.2,230,166,0.00,4.80,149,52,6,0,0,0
1790054592.444060981,141.2,231,166,0.00,8.70,149,53,6,0,0,0
1790054593.506952736,202.3,232,166,0.00,4.77,149,54,6,0,0,0
1790054594.570375308,144.8,232,166,0.00,7.74,149,55,6,0,0,0
1790054595.629041489,201.2,232,166,0.00,4.77,149,56,6,0,0,0
1790054596.685561286,142.0,233,166,0.00,8.63,149,57,6,0,0,0
1790054597.735570781,205.7,234,166,0.00,4.71,149,58,6,0,0,0
1790054598.791525446,145.8,236,166,0.00,7.99,149,59,6,0,0,0
1790054599.850236679,206.9,236,166,0.00,5.08,149,60,6,0,0,0
1790054600.903863375,144.3,236,166,0.00,8.54,149,61,6,0,0,0
1790054601.952050761,212.7,236,166,0.00,5.10,149,62,6,0,0,0
1790054603.012635485,138.6,236,166,0.00,8.77,149,63,6,0,0,0
1790054604.075098142,210.8,237,166,0.00,4.71,149,64,6,0,0,0
1790054605.134002065,153.9,238,166,0.00,7.99,149,65,6,0,0,0
1790054606.188508972,198.2,240,166,0.00,5.35,149,66,6,0,0,0
1790054607.248849378,150.0,240,166,0.00,7.79,149,67,6,0,0,0
1790054608.309676687,204.6,240,166,0.00,5.78,149,68,6,0,0,0
1790054609.363866132,159.4,240,166,0.00,7.84,149,69,6,0,0,0
1790054610.424371267,199.9,240,166,0.00,6.03,149,70,6,0,0,0
1790054611.484910857,151.8,240,166,0.00,7.51,149,71,6,0,0,0
1790054612.545233252,201.8,240,166,0.00,5.51,149,72,6,0,0,0
1790054613.601662402,160.0,241,166,0.00,7.37,149,73,6,0,0,0
1790054614.660568697,192.7,241,166,0.00,6.10,149,74,6,0,0,0
1790054615.719127968,164.4,242,166,0.00,7.17,149,75,6,0,0,0
1790054616.780324580,189.4,242,166,0.00,6.98,149,76,6,0,0,0
1790054617.827194221,171.9,242,166,0.00,6.91,149,77,6,0,0,0
1790054618.885828902,193.6,243,166,0.00,6.38,149,78,6,0,0,0
1790054619.946417905,177.3,243,166,0.00,6.82,149,80,6,0,0,0
1790054621.010420443,173.9,244,166,0.00,7.13,149,81,6,0,0,0
1790054622.074848072,171.9,245,166,0.00,7.06,149,82,6,0,0,0
1790054623.130684502,188.5,245,166,0.00,6.76,149,83,6,0,0,0
1790054624.192360237,167.7,245,166,0.00,7.22,149,84,6,0,0,0
1790054625.257465473,196.2,247,166,0.00,5.92,149,85,6,0,0,0
1790054626.318144033,161.2,247,166,0.00,7.66,149,87,6,0,0,0
1790054627.373103387,199.1,248,166,0.00,6.85,149,88,6,0,0,0
1790054628.425503290,153.0,248,166,0.00,7.55,149,89,6,0,0,0
1790054629.477665400,204.3,248,166,0.00,5.57,149,90,6,0,0,0
1790054630.532546837,154.5,248,166,0.00,7.73,149,91,6,0,0,0
1790054631.594826808,200.5,255,166,0.00,5.55,149,92,9,0,0,0
1790054632.644034242,134.4,263,166,0.00,14.13,149,94,12,0,0,0
1790054633.711339724,201.4,263,166,0.00,5.06,149,95,12,0,0,0
1790054634.775076603,143.8,266,166,0.00,8.46,149,96,12,0,0,0
1790054635.825572300,210.4,266,166,0.00,5.13,149,97,12,0,0,0
1790054636.882526641,151.4,268,166,0.00,8.53,149,98,12,0,0,0
1790054637.934668519,207.2,268,166,0.00,4.95,149,99,12,0,0,0
1790054638.993767354,151.1,268,166,0.00,8.93,149,101,12,0,0,0
1790054640.047045140,211.7,269,166,0.00,5.39,149,102,12,0,0,0
1790054641.096178905,148.7,270,166,0.00,8.68,149,103,12,0,0,0
1790054642.168385651,209.8,270,166,0.00,4.91,149,104,12,0,0,0
1790054643.230577155,149.7,270,166,0.00,8.37,149,105,12,0,0,0
1790054644.292166286,201.6,271,166,0.00,5.87,149,106,12,0,0,0
1790054645.353328804,160.2,271,166,0.00,9.03,149,108,12,0,0,0
1790054646.408109947,200.0,271,166,0.00,5.67,149,109,12,0,0,0
1790054647.466512491,157.8,271,166,0.00,8.08,149,110,12,0,0,0
1790054648.525994539,201.0,271,166,0.00,5.31,149,111,12,0,0,0
1790054649.585672107,153.8,272,166,0.00,8.13,149,112,12,0,0,0
1790054650.647832023,186.4,272,166,0.00,5.88,149,113,12,0,0,0
1790054651.703342454,159.2,272,166,0.00,8.19,149,115,12,0,0,0
1790054652.766030014,200.4,272,166,0.00,5.20,149,116,12,0,0,0
1790054653.816918420,154.2,272,166,0.00,8.25,149,117,12,0,0,0
1790054654.875538150,203.1,273,166,0.00,4.99,149,118,12,0,0,0
