ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790066977.192028459,2.0,48,104,0.00,0.20,147,1,1,0,0.0,0
1790066978.263975917,5.6,49,104,0.09,0.34,147,1,1,240,0.0,40
1790066979.330629882,52.5,61,104,0.00,4.94,147,1,1,2920,0.2,40
1790066980.395414731,66.7,67,104,0.00,4.74,147,2,1,5560,0.2,40
1790066981.465614416,60.7,72,104,0.00,4.79,147,3,1,8280,0.1,0
1790066982.536657165,55.1,78,104,0.00,4.79,147,3,1,10950,0.2,30
1790066983.601146150,62.9,81,104,0.00,4.89,147,4,1,13640,0.2,0
1790066984.667908569,63.7,84,104,0.00,4.72,147,4,1,16360,0.1,40
1790066985.742393169,59.6,90,104,0.00,4.60,147,5,1,19055,0.2,15
1790066986.813440271,62.6,92,104,0.00,4.95,147,6,1,21800,0.1,40
1790066987.883102690,57.0,93,104,0.00,5.12,147,6,1,24525,0.2,5
1790066988.952287249,63.6,94,104,0.00,4.72,147,7,1,27240,0.2,0
1790066990.026714802,62.4,97,104,0.00,4.82,147,8,1,29980,0.1,20
1790066991.093068838,52.5,101,104,0.00,4.60,147,8,1,32680,0.2,40
1790066992.158485401,61.9,102,104,0.00,5.13,147,9,1,35400,0.2,0
1790066993.230210061,62.5,102,104,0.00,4.64,147,10,1,38070,0.1,30
1790066994.302897148,57.8,106,104,0.00,4.59,147,10,1,40790,0.2,30
1790066995.376784958,65.2,107,104,0.00,4.67,147,11,1,43480,0.2,40
1790066996.451622582,60.5,109,104,0.00,4.72,147,12,1,46160,0.1,40
1790066997.514565196,56.4,109,104,0.00,5.04,147,12,1,48845,0.2,5
1790066998.584039901,72.0,110,104,0.00,5.18,147,13,1,52490,0.3,5
1790066999.647999727,81.8,114,104,0.00,5.93,147,14,1,57815,0.2,80
1790067000.709328062,80.1,118,104,0.00,5.98,147,16,1,63080,0.6,5
1790067001.777630028,81.4,121,104,0.00,5.70,147,17,1,68450,0.6,0
1790067002.847350962,84.1,122,104,0.00,5.62,147,18,1,73825,0.5,25
1790067003.924169325,99.4,134,104,0.00,6.82,147,20,3,79225,1.0,40
1790067004.994140085,87.9,141,104,0.00,10.33,147,21,5,84670,0.5,80
1790067006.057790589,87.4,141,104,0.00,5.78,147,22,5,89930,0.4,65
1790067007.116795242,91.6,141,104,0.00,5.89,147,24,5,95275,0.8,20
1790067008.178642253,81.9,142,104,0.00,5.81,147,25,5,100550,0.6,0
1790067009.247022148,93.6,142,104,0.00,5.97,147,26,5,105950,0.4,0
1790067010.312747800,90.1,145,104,0.00,5.99,147,27,5,111285,0.3,80
1790067011.375366606,81.9,145,104,0.00,6.49,147,29,5,116470,0.3,0
1790067012.446221258,81.2,146,104,0.00,5.73,147,30,5,121705,0.7,5
1790067013.500723113,82.5,150,104,0.00,6.03,147,31,5,127005,0.6,50
1790067014.580909033,87.9,150,104,0.00,5.83,147,33,5,132435,0.5,0
1790067015.647778518,96.5,150,104,0.00,5.88,147,34,5,137825,0.4,0
1790067016.726034928,85.3,151,104,0.00,5.69,147,35,5,143240,0.7,80
1790067017.794570164,84.2,152,104,0.00,5.95,147,36,5,148505,0.5,0
1790067018.857370303,102.6,154,104,0.00,6.35,147,38,5,155275,0.6,95
1790067019.918928866,132.8,178,104,0.00,11.72,147,40,10,163210,1.8,35
1790067020.979808681,110.3,185,104,0.00,7.04,147,42,10,171055,1.4,120
1790067022.041968882,105.4,192,104,0.00,6.87,147,44,10,178795,0.7,70
1790067023.106238991,92.1,196,104,0.00,7.95,147,46,10,186525,0.9,0
1790067024.167474406,109.3,201,104,0.00,7.06,147,48,10,194305,0.6,55
