ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790055611.480095765,3.0,50,169,0.00,0.35,149,1,1,0,0.0,0
1790055612.547138187,1.9,51,169,0.00,0.58,149,1,1,48,0.0,8
1790055613.617931845,99.0,59,185,0.00,4.29,149,1,1,648,0.1,8
1790055614.678950568,138.5,69,189,0.00,4.42,149,1,1,1240,0.1,8
1790055615.740263321,137.6,75,191,0.00,4.84,149,1,1,1832,0.1,8
1790055616.804770582,133.4,84,192,0.00,5.19,149,1,1,2416,0.1,8
1790055617.856974925,139.7,92,192,0.00,5.27,149,1,1,2992,0.1,8
1790055618.913088831,145.8,102,192,0.00,4.73,149,1,1,3576,0.1,0
1790055619.971859643,131.3,108,193,0.00,4.64,149,2,1,4168,0.1,8
1790055621.043848978,127.8,111,193,0.00,5.16,149,2,1,4763,0.1,3
1790055622.106879479,140.2,114,193,0.00,4.62,149,2,1,5365,0.1,5
1790055623.176798171,142.1,116,193,0.00,4.79,149,2,1,5952,0.1,8
1790055624.234463610,140.9,118,195,0.00,5.07,149,2,1,6544,0.1,8
1790055625.296867195,134.6,122,196,0.00,4.97,149,2,1,7123,0.0,3
1790055626.354587516,136.1,124,196,0.00,5.04,149,2,1,7712,0.1,8
1790055627.419061495,127.8,126,196,0.00,4.91,149,3,1,8304,0.1,8
1790055628.485735606,128.4,128,196,0.00,5.09,149,3,1,8896,0.1,0
1790055629.547583071,138.4,130,196,0.00,4.63,149,3,1,9496,0.1,8
1790055630.614660387,148.1,131,196,0.00,4.64,149,3,1,10087,0.1,8
1790055631.675288781,136.7,133,196,0.00,5.25,149,3,1,10680,0.1,8
1790055632.739831000,144.7,136,196,0.00,5.12,149,3,1,11388,0.1,0
1790055633.798778066,196.4,138,196,0.00,5.37,149,4,1,12602,0.3,16
1790055634.850279020,228.2,141,196,0.00,5.44,149,4,1,13818,0.4,0
1790055635.903518829,220.3,144,196,0.00,6.18,149,4,1,15018,0.4,16
1790055636.951455783,245.2,149,196,0.00,7.07,149,4,1,16218,0.7,16
1790055638.004654644,239.3,151,197,0.00,5.24,149,5,1,17434,0.6,0
1790055639.059953042,216.1,152,197,0.00,6.97,149,5,1,18634,0.6,16
1790055640.112183392,233.8,156,197,0.00,6.13,149,5,1,19834,0.9,16
1790055641.165047313,237.4,158,197,0.00,4.91,149,6,1,21050,0.8,16
1790055642.214789997,206.7,159,198,0.00,7.29,149,6,1,22266,0.8,16
1790055643.280210986,230.9,161,198,0.00,6.19,149,6,1,23466,1.1,16
1790055644.340341214,248.1,161,198,0.00,4.58,149,6,1,24698,1.0,16
1790055645.399089647,208.7,162,198,0.00,6.67,149,7,1,25898,0.9,0
