ts,active_workers,requests,records,bytes,errors,p50_ms,p95_ms,p99_ms
1790054477.6,8,104,520,130916,0,71.7,77.5,80.4
1790054478.6,8,112,560,141146,0,70.8,75.4,76.9
1790054479.6,8,117,585,147580,0,70.6,76.2,77.6
1790054480.6,8,112,560,141438,0,71.0,76.9,79.6
1790054481.6,8,115,575,144909,0,70.7,75.3,76.6
1790054482.6,8,107,535,134948,0,71.7,77.8,79.5
1790054483.6,8,117,585,147360,0,71.3,76.7,79.2
1790054484.6,8,104,520,130842,0,72.2,77.0,77.6
1790054485.6,8,112,560,141029,0,70.7,75.7,77.8
1790054486.6,8,112,560,141287,0,71.1,77.1,80.0
1790054487.6,8,112,560,141289,0,71.7,76.7,77.5
1790054488.6,8,112,560,141153,0,71.4,75.4,77.5
1790054489.6,8,112,560,141232,0,71.5,78.2,81.5
1790054490.6,8,112,560,140901,0,70.7,76.1,77.6
1790054491.6,8,112,560,141236,0,72.3,78.6,79.7
1790054492.6,8,112,560,141114,0,71.3,75.7,76.6
1790054493.6,8,112,560,141024,0,72.4,79.5,81.0
1790054494.6,8,112,560,141327,0,72.2,77.7,79.8
1790054495.6,8,104,520,131439,0,73.6,81.8,83.3
1790054496.6,16,112,560,141113,0,71.0,76.0,78.2
1790054497.6,16,232,1160,292171,0,70.0,75.6,77.5
1790054498.6,16,224,1120,282245,0,68.9,73.8,77.6
1790054499.6,16,225,1125,283348,0,69.6,74.7,75.9
1790054500.6,16,239,1195,300973,0,69.2,75.0,76.2
1790054501.6,16,224,1120,282511,0,69.2,75.7,78.4
1790054502.6,16,224,1120,282485,0,69.5,74.9,76.7
1790054503.6,16,232,1160,292366,0,69.2,75.0,78.9
1790054504.6,16,232,1160,292287,0,70.0,75.7,78.3
1790054505.6,16,224,1120,282194,0,69.2,74.2,75.5
1790054506.6,16,224,1120,282180,0,70.9,76.2,77.9
1790054507.6,16,225,1125,283018,0,69.8,74.1,78.4
1790054508.6,16,231,1155,291485,0,70.0,75.3,78.8
1790054509.6,16,230,1150,289458,0,70.0,76.6,77.8
1790054510.6,16,226,1130,284206,0,70.1,75.7,77.1
1790054511.6,16,224,1120,282256,0,70.2,74.6,76.9
1790054512.6,16,225,1125,283176,0,70.0,75.1,76.7
1790054513.6,16,230,1150,289644,0,69.7,75.0,77.9
1790054514.7,16,233,1165,293313,0,70.2,74.9,76.6
1790054515.7,16,224,1120,282101,0,69.8,73.8,75.1
1790054516.7,24,225,1125,283571,0,70.3,77.1,79.5
1790054517.7,24,351,1755,441725,0,68.9,73.8,76.0
1790054518.7,24,336,1680,423271,0,71.4,76.6,78.2
1790054519.7,24,344,1720,433630,0,68.4,72.1,74.0
1790054520.7,24,337,1685,424610,0,70.9,76.7,78.5
1790054521.7,24,351,1755,442474,0,68.3,72.8,74.4
1790054522.7,24,336,1680,423474,0,70.9,75.1,77.8
1790054523.7,24,352,1760,443385,0,68.7,72.5,74.2
1790054524.7,24,336,1680,423468,0,71.1,76.6,78.2
1790054525.7,24,344,1720,433225,0,68.3,72.8,74.1
1790054526.7,24,336,1680,422815,0,71.3,76.8,79.2
1790054527.7,24,48,240,60380,0,68.1,72.4,73.6
1790054528.7,24,9,36,11281,0,1913.8,1919.0,1919.0
1790054529.7,24,351,1740,442354,0,69.2,77.8,1912.4
1790054530.7,24,335,1675,421801,0,71.5,77.5,79.7
1790054531.7,24,337,1685,424064,0,69.3,74.3,76.0
1790054532.7,24,336,1680,423238,0,70.8,76.2,78.9
1790054533.7,24,360,1800,453534,0,68.5,73.1,76.1
1790054534.7,24,336,1680,423653,0,70.6,77.9,80.2
1790054535.7,24,343,1715,431721,0,68.6,74.3,75.9
1790054536.7,32,345,1725,434746,0,70.3,76.1,78.6
1790054537.7,32,456,2280,574188,0,69.0,74.8,76.1
1790054538.7,32,448,2240,564726,0,70.8,79.0,82.2
1790054539.7,32,477,2385,600970,0,68.0,73.3,75.2
1790054540.7,32,448,2240,564078,0,70.7,77.7,79.1
1790054541.7,32,451,2255,568314,0,69.1,74.4,76.2
1790054542.7,32,448,2240,564346,0,71.2,77.9,81.5
1790054543.7,32,467,2335,587827,0,69.0,73.5,76.3
1790054544.7,32,460,2300,579934,0,69.5,74.7,76.7
1790054545.7,32,449,2245,566647,0,69.5,74.9,77.3
1790054546.7,32,448,2240,564629,0,70.8,81.3,83.3
1790054547.7,32,458,2290,577071,0,69.3,76.5,79.0
1790054548.7,32,457,2285,575947,0,69.9,76.1,78.7
1790054549.7,32,461,2305,580600,0,68.9,74.0,75.9
1790054550.7,32,455,2275,573375,0,69.1,76.6,80.9
1790054551.7,32,470,2350,591639,0,68.7,75.2,79.5
1790054552.7,32,451,2255,568232,0,70.3,75.9,77.5
1790054553.7,32,458,2290,577657,0,68.5,75.7,78.2
1790054554.7,32,457,2285,575769,0,69.6,77.2,79.6
1790054555.7,32,458,2290,576778,0,69.6,76.2,79.5
