ts,active_workers,requests,records,bytes,errors,p50_ms,p95_ms,p99_ms
1790066979.2,8,496,2480,625378,0,15.8,19.9,21.7
1790066980.2,8,503,2515,633542,0,15.7,19.2,21.0
1790066981.2,8,505,2525,636709,0,15.4,19.2,21.0
1790066982.2,8,496,2480,624921,0,15.8,19.9,21.2
1790066983.2,8,512,2560,645333,0,15.4,19.5,21.8
1790066984.2,8,504,2520,634978,0,15.7,19.1,20.5
1790066985.2,8,504,2520,634821,0,15.7,19.4,21.1
1790066986.2,8,512,2560,644542,0,15.4,18.9,20.5
1790066987.2,8,510,2550,642637,0,15.6,18.7,19.8
1790066988.2,8,506,2530,638053,0,15.5,18.9,20.8
1790066989.2,8,512,2560,645306,0,15.3,19.0,20.7
1790066990.2,8,512,2560,644822,0,15.5,19.4,20.3
1790066991.2,8,504,2520,634715,0,15.6,19.2,20.8
1790066992.2,8,512,2560,645252,0,15.2,18.9,20.9
1790066993.2,8,496,2480,624547,0,15.9,19.3,20.7
1790066994.2,8,504,2520,634670,0,15.8,19.3,21.2
1790066995.2,8,504,2520,634787,0,15.7,19.6,20.9
1790066996.2,8,504,2520,634698,0,15.6,19.5,21.2
1790066997.2,8,504,2520,635126,0,15.6,19.0,20.2
1790066998.2,16,504,2520,635104,0,15.7,19.7,21.8
1790066999.2,16,1012,5060,1275254,0,15.5,22.1,25.1
1790067000.3,16,1003,5015,1263085,0,15.7,22.4,26.4
1790067001.3,16,1001,5005,1261583,0,15.7,22.2,25.2
1790067002.3,16,1008,5040,1269593,0,15.6,22.4,25.4
1790067003.3,16,998,4990,1256562,0,15.9,22.2,26.1
1790067004.3,16,1011,5055,1273907,0,15.6,22.5,26.0
1790067005.3,16,1017,5085,1281059,0,15.6,21.3,23.6
1790067006.3,16,1003,5015,1263482,0,15.6,22.4,24.7
1790067007.3,16,998,4990,1256457,0,15.6,21.9,24.5
1790067008.3,16,1003,5015,1264108,0,15.9,22.1,24.9
1790067009.3,16,1016,5080,1280667,0,15.5,21.6,24.0
1790067010.3,16,1002,5010,1262968,0,15.7,22.2,25.6
1790067011.3,16,974,4870,1226117,0,16.0,22.8,26.2
1790067012.3,16,987,4935,1243798,0,16.2,22.1,25.1
1790067013.3,16,996,4980,1255609,0,15.9,22.5,25.9
1790067014.3,16,1017,5085,1281506,0,15.4,22.7,26.0
1790067015.3,16,1013,5065,1276383,0,15.5,21.8,24.8
1790067016.3,16,1004,5020,1265311,0,15.6,22.0,23.9
1790067017.3,16,1003,5015,1262906,0,15.6,22.9,26.3
1790067018.3,24,1011,5055,1273012,0,15.7,22.1,24.9
1790067019.3,24,1482,7410,1867491,0,15.3,25.5,31.5
1790067020.3,24,1516,7580,1910268,0,15.4,24.0,28.4
1790067021.3,24,1446,7230,1820394,0,15.6,26.6,32.2
1790067022.3,24,1489,7445,1875149,0,15.6,25.3,29.6
1790067023.3,24,1460,7300,1840674,0,15.9,25.3,30.4
1790067024.3,24,1468,7340,1850051,0,15.6,26.1,30.3
1790067025.3,24,1430,7150,1802715,0,15.8,25.3,30.3
1790067026.3,24,1196,5980,1507102,0,16.0,26.7,231.8
1790067027.3,24,1446,7230,1821621,0,16.1,25.8,33.3
1790067028.4,24,1402,7010,1766124,0,16.1,26.5,33.9
1790067029.4,24,1488,7440,1874718,0,15.3,25.9,35.4
1790067030.4,24,1434,7170,1806350,0,16.0,26.5,32.4
1790067031.4,24,1496,7480,1885372,0,15.5,24.7,30.7
1790067032.4,24,1437,7185,1811728,0,16.1,26.4,31.3
1790067033.4,24,1426,7130,1797193,0,16.0,26.9,33.3
1790067034.4,24,1503,7515,1893229,0,15.6,24.1,29.0
1790067035.4,24,1466,7330,1845950,0,16.0,25.7,30.2
1790067036.4,24,1451,7255,1827911,0,15.7,26.7,31.5
1790067037.4,24,1479,7395,1864035,0,15.8,24.6,31.0
1790067038.4,32,1507,7535,1897826,0,16.0,26.8,32.6
1790067039.4,32,1773,8865,2233755,0,17.0,30.9,37.5
1790067040.5,32,1738,8690,2188267,0,17.6,30.4,36.9
1790067041.5,32,1584,7920,1995340,0,19.1,35.4,42.2
1790067042.5,32,1578,7890,1988199,0,19.4,33.4,42.1
1790067043.5,32,1532,7660,1930889,0,19.6,36.4,45.8
1790067044.5,32,1701,8505,2143538,0,17.9,31.9,39.1
1790067045.5,32,1700,8500,2141337,0,17.8,32.8,39.8
1790067046.5,32,1597,7985,2011902,0,19.0,33.5,40.7
1790067047.5,32,1633,8165,2056873,0,18.3,33.3,40.6
1790067048.5,32,1675,8375,2109671,0,18.2,32.8,39.8
1790067049.5,32,1603,8015,2018676,0,18.4,33.5,42.3
1790067050.5,32,1568,7840,1975909,0,19.1,35.5,43.6
1790067051.5,32,1634,8170,2059255,0,18.6,32.8,39.9
1790067052.6,32,1612,8060,2031147,0,19.2,33.4,42.2
1790067053.6,32,1564,7820,1970485,0,19.4,34.9,43.8
1790067054.6,32,1508,7540,1899915,0,19.6,36.8,48.3
1790067055.6,32,1601,8005,2016754,0,19.0,33.7,42.8
1790067056.6,32,1557,7785,1961008,0,19.1,36.0,43.6
1790067057.6,32,1576,7880,1985611,0,19.3,35.2,43.4
1790067058.6,40,1644,8220,2069437,0,19.7,35.3,46.4
1790067059.7,40,1634,8170,2057587,0,22.8,42.6,53.6
1790067060.7,40,1665,8325,2098076,0,22.7,43.1,54.5
1790067061.7,40,1680,8400,2116747,0,22.9,41.2,51.4
1790067062.7,40,1606,8030,2022991,0,23.8,45.6,62.1
1790067063.8,40,1699,8495,2141499,0,22.7,42.5,54.3
1790067064.8,40,1651,8255,2081082,0,22.7,45.2,61.2
1790067065.8,40,1597,7985,2012593,0,23.3,44.3,56.1
1790067066.8,40,1731,8655,2180114,0,22.4,42.3,52.6
1790067067.8,40,1744,8720,2197344,0,21.7,39.6,52.5
1790067068.8,40,1708,8540,2151421,0,22.0,39.8,49.4
1790067069.8,40,1634,8170,2058205,0,22.7,43.7,54.9
1790067070.9,40,1920,9600,2419997,0,20.1,34.7,41.3
1790067071.9,40,1759,8795,2216701,0,21.9,40.3,51.1
1790067072.9,40,1789,8945,2254132,0,21.7,38.5,48.5
1790067073.9,40,1920,9600,2419034,0,19.7,35.4,44.2
1790067074.9,40,1784,8920,2247901,0,20.9,39.9,52.1
1790067075.9,40,1624,8120,2046123,0,22.7,43.4,57.2
1790067076.9,40,1624,8120,2046714,0,23.4,43.8,57.6
1790067078.0,40,1733,8665,2182466,0,22.0,41.9,53.7
1790067079.0,48,1882,9410,2370762,0,21.7,41.0,51.7
1790067080.1,48,1581,7905,1991565,0,28.1,56.0,73.5
1790067081.1,48,1581,7905,1990953,0,28.6,57.5,79.8
1790067082.1,48,1795,8975,2261216,0,25.7,51.3,64.6
1790067083.1,48,1660,8300,2091085,0,26.9,52.8,68.6
1790067084.1,48,1563,7815,1969525,0,28.4,58.5,77.4
1790067085.2,48,1676,8380,2110857,0,26.9,57.5,76.7
1790067086.2,48,1639,8195,2062928,0,26.7,55.5,73.2
1790067087.2,48,1679,8395,2114725,0,26.5,54.9,75.2
1790067088.2,48,1527,7635,1924239,0,28.7,62.1,83.3
1790067089.2,48,1627,8135,2049503,0,27.3,53.6,69.1
1790067090.2,48,1690,8450,2130434,0,25.9,53.8,72.5
1790067091.2,48,1697,8485,2137534,0,25.9,54.0,71.8
1790067092.3,48,1651,8255,2080914,0,26.5,55.5,74.5
1790067093.3,48,1762,8810,2218317,0,25.1,50.4,66.3
1790067094.3,48,1650,8250,2079220,0,27.0,53.7,69.4
1790067095.3,48,1754,8770,2208954,0,25.6,53.3,66.7
1790067096.3,48,1940,9700,2442618,0,22.9,43.2,56.7
1790067097.3,48,1617,8085,2037016,0,27.6,54.9,72.7
1790067098.3,48,1679,8395,2115165,0,26.9,52.8,69.9
1790067099.3,56,1937,9685,2440229,0,25.5,49.4,64.8
1790067100.4,56,1682,8410,2118769,0,29.9,64.1,84.2
1790067101.4,56,1575,7875,1984005,0,31.9,70.5,91.5
1790067102.5,56,1616,8080,2037146,0,31.0,70.5,94.4
1790067103.5,56,1765,8825,2223824,0,29.2,58.9,83.5
1790067104.5,56,1612,8060,2032007,0,31.1,67.2,93.7
1790067105.5,56,1653,8265,2083324,0,30.5,66.9,87.5
1790067106.5,56,1882,9410,2370842,0,27.5,57.2,78.4
1790067107.5,56,2091,10455,2634566,0,24.9,48.0,61.5
1790067108.5,56,1834,9170,2310539,0,28.1,60.7,82.3
1790067109.5,56,1906,9530,2401242,0,27.5,54.2,69.7
1790067110.5,56,1883,9415,2371574,0,27.9,54.9,70.4
1790067111.6,56,1897,9485,2390868,0,27.4,53.3,68.9
1790067112.6,56,1723,8615,2171106,0,29.3,62.9,91.6
1790067113.6,56,1878,9390,2366322,0,27.5,60.3,85.5
1790067114.6,56,1826,9130,2301254,0,28.3,57.7,79.1
1790067115.6,56,1956,9780,2463513,0,27.1,52.8,70.4
1790067116.6,56,2042,10210,2573085,0,25.8,47.1,61.1
1790067117.6,56,2282,11410,2874334,0,23.9,41.0,50.0
1790067118.6,56,2172,10860,2735420,0,24.4,44.3,59.2
1790067119.6,64,2434,12170,3065660,0,24.7,44.3,57.2
1790067120.8,64,2211,11055,2785691,0,27.6,51.0,66.1
1790067121.8,64,1761,8805,2217860,0,32.6,69.7,98.1
1790067122.9,64,1814,9070,2285625,0,33.2,74.5,96.8
1790067123.9,64,1768,8840,2226697,0,33.5,72.0,99.5
1790067124.9,64,2004,10020,2524287,0,29.9,61.8,80.3
1790067125.9,64,1624,8120,2046104,0,35.2,79.4,101.5
1790067126.9,64,1645,8225,2073103,0,35.0,77.9,105.8
1790067127.9,64,1725,8625,2172251,0,33.5,71.3,109.5
1790067129.0,64,1740,8700,2192290,0,33.3,73.0,98.2
1790067130.0,64,1838,9190,2315045,0,32.3,69.1,91.8
1790067131.0,64,1826,9130,2299395,0,32.7,68.5,95.5
1790067132.1,64,1871,9355,2357282,0,31.9,67.7,86.8
1790067133.1,64,1804,9020,2272317,0,32.2,68.8,90.8
1790067134.1,64,1727,8635,2175867,0,33.4,72.3,97.0
1790067135.1,64,1743,8715,2196546,0,33.9,74.3,106.9
1790067136.1,64,1741,8705,2192011,0,33.8,74.5,96.4
1790067137.2,64,1860,9300,2344033,0,32.2,69.7,91.3
1790067138.2,64,1647,8235,2074365,0,36.1,77.5,100.6
1790067139.2,64,1725,8625,2173592,0,33.1,75.9,100.9
1790067140.2,64,1769,8845,2227675,0,32.6,70.7,91.6
1790067141.3,64,1953,9765,2461297,0,32.2,62.8,82.8
1790067142.3,64,1742,8710,2195237,0,33.8,71.0,96.3
1790067143.3,64,1699,8495,2140748,0,35.0,72.0,94.1
1790067144.3,64,1635,8175,2060442,0,35.3,79.1,100.7
1790067145.4,64,1628,8140,2050844,0,36.8,80.1,106.3
1790067146.4,64,1756,8780,2212375,0,32.9,71.2,96.2
1790067147.4,64,1619,8095,2039566,0,34.9,78.5,107.6
1790067148.4,64,1950,9750,2456833,0,30.5,64.5,87.5
1790067149.4,64,1648,8240,2075827,0,35.9,77.3,99.3
1790067150.4,64,1777,8885,2238728,0,32.7,70.5,97.8
1790067151.5,64,1598,7990,2012689,0,36.2,81.3,102.7
1790067152.5,64,1642,8210,2068619,0,36.5,78.9,104.7
1790067153.5,64,1611,8055,2029430,0,35.3,79.3,112.3
1790067154.5,64,1859,9295,2343037,0,32.6,68.5,92.3
1790067155.6,64,1856,9280,2337710,0,32.5,74.2,94.1
1790067156.7,64,1872,9360,2358494,0,33.1,74.2,97.1
1790067157.7,64,1695,8475,2135478,0,34.6,75.4,101.8
1790067158.7,64,1703,8515,2145833,0,33.9,76.9,102.0
